  step	AVG(v(out))	FROM	TO
     1	2.79663	0.009	0.01
     2	2.65524	0.009	0.01
     3	2.47145	0.009	0.01
     4	2.30039	0.009	0.01
     5	2.16314	0.009	0.01
     6	2.04132	0.009	0.01
     7	1.95576	0.009	0.01
     8	1.88407	0.009	0.01
     9	1.83129	0.009	0.01
    10	1.78281	0.009	0.01
    11	1.74307	0.009	0.01
    12	1.7111	0.009	0.01
    13	1.6818	0.009	0.01
    14	1.65779	0.009	0.01
    15	1.63555	0.009	0.01
